Iteration	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
5400	-262.3879	-251.1712	-11.21671	1.347825	0.0744865	0.04709946	0.0370578	0.0665665	0.071699	0.0835957	0.0605927	0.152984	0.00269897	0.0136276	0.0236495	0.182132	0.0628564	0.100654	0.0923379	0.0338867	0.0156608	0.01912922	37.52573	0.200829	0.561098	1.04008	2.198	0.217601	0.211781	0.159981	0.0959695	0.0969809	0.217687	0.06622868	0.2888359
5500	-266.4152	-253.7646	-12.65059	1.12217	0.07023383	0.03720423	0.0763151	0.0256258	0.166706	0.0303331	0.0519678	0.0620391	0.0849508	0.0367167	0.00802593	0.0596639	0.0671553	0.0591546	0.0859003	0.174106	0.0113396	0.003780059	64.38945	0.160665	0.510626	1.01762	2.31109	0.226883	0.196688	0.125036	0.0723019	0.224972	0.154118	0.04098429	0.0922319
5600	-263.2633	-255.7689	-7.494343	1.751411	0.06184308	0.05831208	0.0122846	0.0434606	0.049558	0.012917	0.0279758	0.0272818	0.0509487	0.0434007	0.0805533	0.291359	0.0342639	0.0243636	0.0844857	0.178459	0.0386881	0.002251398	30.13022	0.261681	0.625677	1.06231	2.05033	0.272753	0.223702	0.136099	0.0930214	0.0957896	0.178635	0.06056348	0.03717418
5700	-269.3643	-255.1978	-14.1665	1.569698	0.1601483	-0.0145755	0.0622641	0.0583242	0.0754362	0.033505	0.0337199	0.0483195	0.0556795	0.00417156	0.216724	0.0295	0.0519068	0.110242	0.0680432	0.0762028	0.0759608	0.0419054	39.00576	0.235891	0.599761	1.05427	2.11008	0.275578	0.278494	0.115206	0.102054	0.127295	0.101373	0.0273299	1.533317
5800	-258.5653	-252.1785	-6.386786	1.438911	0.2118854	0.06076261	0.0314661	0.165377	0.038741	0.00334889	0.00972163	0.0596771	0.0163854	0.0897381	0.0990784	0.0476892	0.0580351	0.04097	0.0660077	0.210525	0.0632398	0.02204434	19.71655	0.215729	0.578062	1.04662	2.15959	0.177433	0.262008	0.104715	0.095654	0.155902	0.204287	0.08280695	0.2662137
5900	-262.0649	-253.3486	-8.71631	1.35898	0.07752807	0.04691203	0.0583422	0.0534174	0.137713	0.0466406	0.0723927	0.0995675	0.00813018	0.0198216	0.128514	0.154999	0.0542207	0.0155357	0.0996708	0.0324485	0.0185871	0.009510239	38.7077	0.202693	0.563267	1.04094	2.1931	0.323541	0.157335	0.104792	0.114907	0.168985	0.13044	0.05642227	0.1685547
6000	-258.9982	-252.7149	-6.283268	2.111122	0.09052454	0.07450621	0.0185865	0.156237	0.0102326	0.0486446	0.0653768	0.0443916	0.0631541	0.00565891	0.0809496	0.000778543	0.0758322	0.0441208	0.229896	0.110253	0.0458865	0.0007786424	22.38022	0.306188	0.666333	1.07254	1.95494	0.266822	0.30159	0.0822368	0.103035	0.117517	0.128799	0.07528485	0.01034262
6100	-266.5543	-253.5073	-13.04699	0.8890789	0.03538826	0.02555916	0.0303523	0.0563242	0.183082	0.00209961	0.0183227	0.0356984	0.012056	0.00336934	0.0115375	0.16087	0.223019	0.0364635	0.15272	0.0474757	0.0266095	0.02936641	55.84516	0.114326	0.440671	0.97888	2.46612	0.275168	0.161632	0.0931729	0.0972892	0.175466	0.197272	0.05492557	0.5346583
6200	-257.4632	-251.0561	-6.407127	1.747715	0.1007139	0.09735842	0.0237279	0.308407	0.0703933	0.0104468	0.0237985	0.0196746	0.0616335	0.0148419	0.0841704	0.123532	0.0708218	0.00502397	0.125938	0.0421254	0.0154642	0.004002397	15.27585	0.26118	0.625192	1.06217	2.05145	0.251215	0.258555	0.0597116	0.0988968	0.170004	0.161618	0.1013608	0.03948663
6300	-264.3239	-253.6722	-10.6517	1.447611	0.07439154	0.08454849	0.0460887	0.0897909	0.0727983	0.0217088	0.00728304	0.124443	0.0531761	0.00381417	0.195142	0.134692	0.0185512	0.0396394	0.13888	0.045375	0.00861706	0.001026243	32.92365	0.217115	0.579597	1.04719	2.1561	0.280951	0.23542	0.0734534	0.105776	0.140964	0.163436	0.08557473	0.01199236
