Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
45	0	-241.5278	-230.1675	-11.36031	3.506275	0.1633979	-0.003026504	0.00735577	0.050193	0.0942162	0.28512	0.0537031	0.000938807	0.00841048	0.0129452	0.1495	0.0307428	0.0472634	0.00534013	0.137093	0.0520731	0.0651043	0.03144581	78.0895	0.424995	0.756195	1.08409	1.73472	0.137361	0.187588	0.260357	0.0772367	0.258076	0.0793808	0.02841931	1.106495
46	0	-244.8316	-231.739	-13.09257	3.762661	0.1344964	0.004478303	0.0355848	0.0374708	0.0868812	0.114225	0.0683825	0.00413395	0.0127261	0.0187097	0.252819	0.0769599	0.0529364	0.00364089	0.169042	0.0654878	0.000999944	0.07080355	100.5537	0.440829	0.76658	1.08436	1.70823	0.157333	0.230875	0.183094	0.071073	0.264718	0.0929063	0.07528185	0.9405128
47	0	-238.8844	-227.3164	-11.56798	2.472159	0.2536899	0.01788249	0.00165689	0.0572119	0.0743705	0.346114	0.0490349	0.00420479	0.0221476	0.000424244	0.154233	0.0345211	0.045451	0.0200604	0.172697	0.001293	0.0165797	0.01710958	96.49125	0.343801	0.697364	1.0783	1.88053	0.136031	0.114887	0.232464	0.0716877	0.3799	0.0650298	0.03499208	0.488956
48	0	-244.5307	-236.9687	-7.561938	2.282425	0.09257699	0.02625085	0.133658	0.00711063	0.0880898	0.101538	0.161418	0.00974507	0.00669756	0.0087519	0.0813316	0.0510311	0.0331551	0.0201645	0.152206	0.0750965	0.0700054	0.02080967	65.05618	0.324808	0.682037	1.07568	1.91747	0.123809	0.144184	0.266904	0.0637019	0.269105	0.132297	0.04706052	0.4421896
49	0	-245.2932	-232.4003	-12.89288	4.051208	0.0601333	0.009563682	0.000593005	0.116296	0.0526695	0.286089	0.0308589	0.00121779	0.0452748	0.00629212	0.118976	0.00521177	0.0647692	0.00736337	0.234761	0.00132771	0.0283002	0.008007456	111.999	0.457153	0.776961	1.08439	1.6815	0.13708	0.199674	0.248493	0.0570913	0.262187	0.0954749	0.01757114	0.4557164
50	0	-240.8157	-233.9915	-6.824261	1.602769	0.5253867	0.02157508	0.027496	0.165736	0.0298719	0.171207	0.0821472	0.00738287	0.00635939	0.00865459	0.174878	0.0814287	0.055214	0.0107826	0.146251	0.00888705	0.0237035	0.01975658	27.03185	0.24077	0.604814	1.05593	2.09849	0.161876	0.194281	0.143958	0.0465721	0.354895	0.0984179	0.04133166	0.4780012
51	0	-247.5516	-239.3481	-8.203519	2.482749	0.1321785	0.02375443	0.00351832	0.130797	0.166699	0.103756	0.0697984	0.00833376	0.0921532	0.00770946	0.11709	0.00946594	0.0169643	0.0144502	0.184131	0.0167994	0.0583345	0.007589601	62.12373	0.344815	0.698164	1.07843	1.87859	0.150966	0.145131	0.18001	0.0463922	0.319644	0.157857	0.03134403	0.2421386
52	0	-244.9217	-234.3211	-10.60054	3.575092	0.1223325	-0.01036934	0.0428496	0.118358	0.0258263	0.138245	0.0814623	0.00149614	0.00247181	0.016197	0.143452	0.0582505	0.20316	0.00284315	0.105257	0.0294294	0.0307027	0.04622884	85.64602	0.429379	0.759102	1.08418	1.72733	0.113241	0.186553	0.165636	0.0572812	0.272196	0.205093	0.0358595	1.289166
53	0	-246.3681	-234.5935	-11.77455	2.46141	0.09504061	0.001755943	0.0197047	0.0519816	0.0713596	0.080535	0.139078	0.00710956	0.0111884	0.00046896	0.144526	0.264544	0.038141	0.00587574	0.150098	0.00751823	0.00787113	0.02166863	93.3254	0.342767	0.696547	1.07818	1.88251	0.147633	0.151219	0.145847	0.110588	0.351087	0.0936266	0.02342458	0.9250384
54	0	-253.039	-238.2994	-14.7396	2.046895	0.1454813	0.00811563	0.00667676	0.105399	0.0243947	0.0644989	0.0335881	0.0144315	0.000836405	0.00158963	0.0709808	0.121342	0.362746	0.0200343	0.124178	0.0455575	0.00374779	0.0001256081	275.9675	0.298809	0.659909	1.07112	1.97016	0.121454	0.223431	0.185515	0.0699097	0.32009	0.0796004	0.008241238	0.01524141
55	0	-246.4629	-232.9258	-13.53714	2.042749	0.04257031	-0.0003186702	0.0449362	0.0942537	0.0891234	0.120868	0.0206498	0.00748797	0.00230599	0.0037351	0.0774794	0.0671965	0.0850062	0.0204689	0.153209	0.154222	0.0590588	0.02133753	335.8248	0.298325	0.659484	1.07102	1.97117	0.158286	0.226509	0.196703	0.0527915	0.266367	0.0993435	0.02101886	1.015161
56	0	-244.7295	-233.0412	-11.68825	2.19375	0.08345526	0.006309707	0.00474442	0.0739746	0.0507814	0.164534	0.0226942	0.00371672	0.0828167	0.00234451	0.103787	0.0474769	0.0565767	0.00570075	0.351104	0.010927	0.0188209	0.006142007	157.441	0.315355	0.674153	1.07416	1.93633	0.184523	0.172479	0.22201	0.069233	0.242264	0.109491	0.01245171	0.493266
57	0	-242.582	-228.5642	-14.01782	2.712749	0.1882713	0.007956812	0.00255514	0.205211	0.140573	0.148216	0.0525091	0.000813169	0.0170616	0.0103357	0.23548	0.0908223	0.00449313	0.00264183	0.0797112	0.00226914	0.00730784	0.05687018	117.688	0.365742	0.714272	1.08068	1.83931	0.167131	0.146402	0.210812	0.0592703	0.316021	0.100362	0.06482699	0.8772608
58	0	-251.6241	-245.558	-6.066186	2.432285	0.1583996	0.03449942	0.0346041	0.0978669	0.0886622	0.0517055	0.075255	0.00364016	0.00981915	0.0159417	0.219807	0.208655	0.0625598	0.0315342	0.0757815	0.00213934	0.0220278	0.01212967	34.17156	0.339941	0.694303	1.07782	1.88794	0.113905	0.151749	0.288038	0.0458125	0.318629	0.0818672	0.04662908	0.260131
59	0	-241.8273	-235.7834	-6.043876	2.680251	0.2543946	0.03019657	0.00123009	0.140307	0.0157847	0.207386	0.0218589	0.0391594	0.0116387	0.0014623	0.117943	0.0611783	0.0304745	0.046185	0.0811248	0.0709763	0.153292	0.04286853	34.70935	0.362906	0.712132	1.08041	1.84455	0.196853	0.157078	0.204877	0.085995	0.245924	0.109273	0.0730651	0.5867169
60	0	-248.9697	-234.2777	-14.69205	4.946009	0.05021871	0.009847225	0.0075853	0.19535	0.0252743	0.273717	0.111594	0.0146073	0.0125046	0.00610693	0.0714567	0.00780365	0.0236768	0.00217065	0.11331	0.0824894	0.0523534	0.007474861	164.8731	0.49982	0.802655	1.08339	1.61413	0.159235	0.186224	0.238039	0.0869375	0.24758	0.081985	0.01732209	0.431522
61	0	-251.7617	-232.7454	-19.01637	4.547367	0.04421761	0.001858683	0.00696492	0.0991853	0.0116836	0.111778	0.0387213	0.0291415	8.9847e-05	0.0066372	0.247052	0.0152086	0.0519316	0.00112506	0.257525	0.11225	0.0107057	0.006082203	343.7547	0.482118	0.792238	1.08399	1.64166	0.140544	0.122542	0.187352	0.134221	0.321194	0.0941477	0.007940887	0.765935
62	0	-247.0549	-232.2656	-14.78925	2.289896	0.0319253	0.00371883	0.0268125	0.0654749	0.223797	0.286725	0.0326606	0.00216978	0.0227596	0.00105185	0.105626	0.0219322	0.113445	0.02868	0.0195292	0.043248	0.00608808	0.002287934	274.2368	0.325587	0.682679	1.0758	1.91593	0.207619	0.144274	0.193119	0.0822712	0.235069	0.137648	0.006006764	0.3808929
63	0	-258.0325	-233.5446	-24.48788	4.669268	0.05685232	0.000566178	0.00692504	0.00981693	0.0741896	0.290674	0.0890925	0.0070329	0.0112489	0.00423283	0.134952	0.0905673	0.0949516	0.00201701	0.130062	0.0104279	0.0438101	0.001095617	925.2532	0.487733	0.795578	1.08383	1.63286	0.14232	0.103389	0.25712	0.0702346	0.329885	0.0970504	0.001661795	0.6592973
64	0	-242.7652	-233.1483	-9.616885	5.598429	0.165452	0.0291899	0.0275888	0.0882281	0.064217	0.130118	0.0166325	0.0146868	0.0587899	0.00998707	0.224954	0.0170235	0.0427538	0.0280496	0.248307	0.0210157	0.00764884	0.02991612	46.72776	0.525181	0.817019	1.08213	1.57566	0.211778	0.11081	0.198144	0.0727575	0.30504	0.10147	0.05910603	0.5061434
