"lek","gaps","convg","cost.type","Y.cost.vals.1."
"file5adc19cf0ee5song.seq_LK9_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc861c4fsong.seq_LK10_SongsSeq.fa",30,"Y","increasing","1.2_1.5_1.8"
"file5adc49ead0cdsong.seq_LK11_SongsSeq.fa",22,"Y","increasing","1.2_1.5_1.8"
"file5adc548dab33song.seq_LK1_SongsSeq.fa",31,"Y","increasing","1.2_1.5_1.8"
"file5adc4a1d3d8song.seq_LK2_SongsSeq.fa",40,"N","increasing","1.2_1.5_1.8"
"file5adc5ea22610song.seq_LK3_SongsSeq.fa",34,"Y","increasing","1.2_1.5_1.8"
"file5adcec3e3f3song.seq_LK4_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc114dc90dsong.seq_LK5_SongsSeq.fa",26,"Y","increasing","1.2_1.5_1.8"
"file5adc473fb5cesong.seq_LK6_SongsSeq.fa",26,"Y","increasing","1.2_1.5_1.8"
"file5adc942454fsong.seq_LK7_SongsSeq.fa",33,"Y","increasing","1.2_1.5_1.8"
"file5adc6d3ffa00song.seq_LK8_SongsSeq.fa",23,"Y","increasing","1.2_1.5_1.8"
"file5adc76f34073song.seq_LK9_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc7b6ae59asong.seq_LK10_SongsSeq.fa",16,"Y","increasing","1.2_1.5_1.8"
"file5adc4d57588dsong.seq_LK11_SongsSeq.fa",30,"N","increasing","1.2_1.5_1.8"
"file5adc3855c9ebsong.seq_LK1_SongsSeq.fa",25,"Y","increasing","1.2_1.5_1.8"
"file5adc555635c2song.seq_LK2_SongsSeq.fa",33,"N","increasing","1.2_1.5_1.8"
"file5adc6c47d9eesong.seq_LK3_SongsSeq.fa",29,"Y","increasing","1.2_1.5_1.8"
"file5adc655f2050song.seq_LK4_SongsSeq.fa",33,"Y","increasing","1.2_1.5_1.8"
"file5adc1b70fe3fsong.seq_LK5_SongsSeq.fa",24,"Y","increasing","1.2_1.5_1.8"
"file5adc68a45466song.seq_LK6_SongsSeq.fa",12,"Y","increasing","1.2_1.5_1.8"
"file5adc52ab5560song.seq_LK7_SongsSeq.fa",29,"Y","increasing","1.2_1.5_1.8"
"file5adc793a668song.seq_LK8_SongsSeq.fa",38,"Y","increasing","1.2_1.5_1.8"
"file5adc367b8647song.seq_LK9_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc26931729song.seq_LK10_SongsSeq.fa",26,"Y","increasing","1.2_1.5_1.8"
"file5adc35b9b643song.seq_LK11_SongsSeq.fa",25,"N","increasing","1.2_1.5_1.8"
"file5adc7301f778song.seq_LK1_SongsSeq.fa",29,"Y","increasing","1.2_1.5_1.8"
"file5adc6031b721song.seq_LK2_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc5118f937song.seq_LK3_SongsSeq.fa",31,"Y","increasing","1.2_1.5_1.8"
"file5adc5bb2fcb9song.seq_LK4_SongsSeq.fa",37,"Y","increasing","1.2_1.5_1.8"
"file5adc7a302ec8song.seq_LK5_SongsSeq.fa",32,"Y","increasing","1.2_1.5_1.8"
"file5adca3138csong.seq_LK6_SongsSeq.fa",32,"Y","increasing","1.2_1.5_1.8"
"file5adc75820b9esong.seq_LK7_SongsSeq.fa",24,"Y","increasing","1.2_1.5_1.8"
"file5adc7ab64b17song.seq_LK8_SongsSeq.fa",32,"Y","increasing","1.2_1.5_1.8"
"file5adc4a8de45asong.seq_LK9_SongsSeq.fa",40,"N","increasing","1.2_1.5_1.8"
"file5adc4a0fb6d1song.seq_LK10_SongsSeq.fa",32,"Y","increasing","1.2_1.5_1.8"
"file5adc7f581eefsong.seq_LK11_SongsSeq.fa",19,"Y","increasing","1.2_1.5_1.8"
"file5adc29300a6asong.seq_LK1_SongsSeq.fa",32,"Y","increasing","1.2_1.5_1.8"
"file5adc58d39ac5song.seq_LK2_SongsSeq.fa",33,"Y","increasing","1.2_1.5_1.8"
"file5adc10a5e7fcsong.seq_LK3_SongsSeq.fa",22,"Y","increasing","1.2_1.5_1.8"
"file5adc706fc039song.seq_LK4_SongsSeq.fa",35,"Y","increasing","1.2_1.5_1.8"
"file5adc6215e014song.seq_LK5_SongsSeq.fa",30,"Y","increasing","1.2_1.5_1.8"
"file5adc7de5e1fcsong.seq_LK6_SongsSeq.fa",28,"Y","increasing","1.2_1.5_1.8"
"file5adc676300acsong.seq_LK7_SongsSeq.fa",31,"N","increasing","1.2_1.5_1.8"
"file5adc5d80c5aesong.seq_LK8_SongsSeq.fa",34,"Y","increasing","1.2_1.5_1.8"
"file5adc4b3d3a89song.seq_LK9_SongsSeq.fa",40,"Y","increasing","1.2_1.5_1.8"
"file5adc1fb8ca97song.seq_LK10_SongsSeq.fa",39,"Y","increasing","1.2_1.5_1.8"
