"lek","song.type","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"TR1","TR1-E4","d","p","u","u","u","f","f","f","d","d","d","p","u","u","u","f","f","f","f","d"
"TR1","TR1-F1","u","u","f","d","d","u","d","f","f","d","u","d","f","d","f","u","u","f","f","f"
"TR1","TR1-F2","s","s","f","f","s","f","f","s","f","f","s","s","f","f","s","f","f","s","f","f"
"TR2","TR2-A1","d","f","f","p","f","d","f","f","u","f","d","f","f","p","f","d","f","f","u","f"
"TR2","TR2-A2","p","f","f","u","f","p","f","f","p","u","p","f","f","p","f","p","f","f","p","f"
"TR2","TR2-A3","p","f","f","u","f","p","f","f","u","f","p","f","f","u","f","p","f","f","u","f"
"TR2","TR2-C1","p","p","m","m","m","m","p","p","p","p","p","p","m","m","m","p","p","u","p","p"
"TR2","TR2-C2","s","s","p","p","s","f","p","m","f","m","m","m","f","m","m","f","m","m","f","m"
"TR2","TR2-C3","p","u","m","m","m","m","d","p","m","p","p","u","m","m","m","m","p","p","f","m"
"TR2","TR2-C4","p","p","s","s","s","f","f","d","f","f","p","p","s","s","s","f","f","d","f","f"
"TR2","TR2-D1","u","m","f","u","m","p","p","f","p","d","p","f","p","u","f","p","d","f","f","d"
